name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
T.Romo,00-0021678,yes,DAL,QB,1,0,1,0,0,36,21,0,3,0,0,256,1,10,0,0,0,10
M.Hasselbeck,00-0007091,no,SEA,QB,,,,,,39,22,0,2,0,0,249,,,,,,
