name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
R.Fitzpatrick,00-0023682,yes,HOU,QB,0,1,1,1,0,27,13,1,2,0,0,203,6,16,0,0,0,0,49
M.Sanchez,00-0026898,no,PHI,QB,,,,,,22,15,2,2,0,0,202,5,3,0,0,0,0,5
N.Foles,00-0029567,no,PHI,QB,,,,,,13,10,1,1,0,0,124,1,1,0,0,0,0,1
