name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Henne,00-0026197,yes,MIA,QB,52,29,1,2,1,0,335,1,-1,0,0,0,-1
T.Brady,00-0019596,no,NE,QB,29,19,2,2,0,0,352,,,,,,
