name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.McCown,00-0021206,yes,CHI,QB,36,27,0,4,1,1,348,3,10,7,1,0,0,16
T.Romo,00-0021678,no,DAL,QB,20,11,0,3,0,0,104,1,-1,0,0,0,0,-1
K.Orton,00-0023541,no,DAL,,5,3,0,0,0,0,40,,,,,,,
