name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
D.Brees,00-0020531,yes,NO,QB,45,35,1,3,0,0,420,3,9,0,0,0,0,15
J.Flacco,00-0026158,no,BAL,QB,24,18,0,1,0,0,243,2,3,0,0,0,0,2
