name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
Sh.Hill,00-0020679,yes,DET,QB,39,28,1,1,0,0,258,,,,,,,,2,7,0,0,0,0,11
J.Webb,00-0027796,no,MIN,QB,32,20,1,0,0,0,148,7,0,0,0,0,0,9,5,12,0,0,0,0,35
