name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
C.Palmer,00-0021429,yes,CIN,QB,33,23,0,1,1,1,249
D.Brees,00-0020531,no,NO,QB,29,24,1,2,0,0,313
