name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
M.Hasselbeck,00-0007091,yes,TEN,QB,30,14,2,1,0,0,104
M.Schaub,00-0022787,no,HOU,QB,23,18,0,2,0,0,296
