name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
K.Warner,00-0017200,yes,ARI,,38,29,0,2,0,0,340,4,3,0,0,0,0
M.Hasselbeck,00-0007091,no,SEA,QB,52,26,2,1,0,0,315,2,6,0,0,0,7
