name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
D.Anderson,00-0023645,yes,CLE,QB,17,8,0,1,0,0,121,1,-1,0,0,0,-1
C.Frye,00-0023502,no,OAK,,45,26,3,0,0,0,333,2,7,0,0,0,13
