name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Ponder,00-0027950,yes,MIN,,,,,,,17,11,1,0,0,0,91,4,3,0,0,0,0,0
J.Campbell,00-0023460,no,CHI,,,,,,,9,6,0,1,0,0,64,1,8,0,0,0,0,8
J.Cutler,00-0024226,no,CHI,QB,0,0,1,0,0,44,22,2,1,0,0,260,2,11,0,0,0,0,16
