name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
A.Smith,00-0023436,yes,KC,QB,,,,,,41,24,2,3,0,0,288,7,11,0,0,0,0,37
E.Manning,00-0022803,no,NYG,QB,2,0,2,0,0,37,18,1,1,0,0,217,2,12,0,0,0,0,12
