name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
K.Clemens,00-0024264,yes,NYJ,QB,,,,,,2,1,0,0,0,0,6,2,10,10,1,0,0,9
M.Brunell,00-0002110,yes,NYJ,,,,,,,12,6,1,2,0,0,110,,,,,,,
B.Brohm,00-0026196,no,BUF,,1,0,1,0,0,23,10,3,0,0,0,106,,,,,,,
L.Brown,00-0027804,no,BUF,,,,,,,3,2,1,0,0,0,24,,,,,,,
