name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
T.Romo,00-0021678,yes,DAL,QB,30,19,0,2,0,0,249,1,-1,0,0,0,-1
P.Rivers,00-0022942,no,SD,QB,32,21,1,1,0,0,272,3,1,0,0,0,1
