name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Vick,00-0020245,yes,PHI,QB,,,,,,2,0,0,0,0,0,0,1,7,0,0,0,7
K.Kolb,00-0025423,yes,PHI,,,,,,,34,24,0,2,0,0,327,1,1,1,0,0,1
M.Cassel,00-0023662,no,KC,QB,0,1,1,1,-4,18,14,0,2,0,0,90,2,0,0,0,0,-1
