name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
R.Fitzpatrick,00-0023682,yes,TEN,QB,0,0,1,0,0,41,21,2,1,0,0,247,0,0,1,0,0,0,0,6,26,9,1,0,0,50
A.Smith,00-0023436,no,KC,QB,,,,,,39,20,1,0,0,0,245,,,,,,,,3,6,0,0,0,0,10
