name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
V.Young,00-0024218,yes,TEN,,1,0,2,0,0,10,7,2,0,0,0,66,2,6,0,0,0,0,12
K.Collins,00-0003292,yes,TEN,,1,1,2,1,0,25,17,1,1,1,1,149,2,0,0,0,0,0,-1
D.Dixon,00-0026296,no,PIT,,1,0,2,0,-4,6,4,0,0,0,0,18,3,21,0,0,0,0,28
C.Batch,00-0000865,no,PIT,,0,1,2,1,-3,11,5,0,0,0,0,25,1,0,0,0,0,0,0
