name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
M.Ryan,00-0026143,yes,ATL,QB,0,1,2,1,0,35,18,0,3,0,0,250
B.Brohm,00-0026196,no,BUF,,,,,,,29,17,2,0,0,0,146
