name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
D.Brees,00-0020531,yes,NO,QB,23,18,0,5,0,0,371,1,-1,0,0,0,-1
B.Hoyer,00-0026625,no,NE,QB,4,2,0,0,0,0,19,,,,,,
T.Brady,00-0019596,no,NE,QB,36,21,2,0,0,0,237,1,2,0,0,0,2
