name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
B.Roethlisberger,00-0022924,yes,PIT,QB,,,,,,24,18,1,2,0,0,278,3,8,0,0,0,7
B.Gradkowski,00-0024408,no,OAK,QB,0,1,1,1,0,33,20,0,3,0,0,308,3,10,0,0,0,20
