name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Cutler,00-0024226,yes,CHI,QB,0,0,1,0,0,21,12,1,1,0,0,135,,,,,,,,1,9,0,0,0,0,9
A.Rodgers,00-0023459,no,GB,QB,,,,,,36,23,0,3,0,0,291,-1,0,1,0,0,0,-1,4,6,0,0,0,0,14
