name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.McCoy,00-0027688,yes,CLE,QB,0,1,1,1,0,40,19,1,2,0,0,213,-5,0,1,0,0,0,-5,3,9,0,0,0,0,11
A.Dalton,00-0027973,no,CIN,QB,0,0,1,0,0,15,10,0,1,0,0,81,,,,,,,,,,,,,,
B.Gradkowski,00-0024408,no,CIN,QB,,,,,,12,5,0,1,0,0,92,,,,,,,,2,0,0,0,0,0,0
