name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
A.Rodgers,00-0023459,yes,GB,QB,32,22,1,1,0,0,219,3,-2,0,0,0,0,-6
J.Cutler,00-0024226,no,CHI,QB,27,11,4,1,0,0,126,1,12,0,0,0,0,12
