name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Cassel,00-0023662,yes,KC,QB,39,24,2,1,0,0,241,5,9,0,0,0,34
J.Russell,00-0025388,no,OAK,,24,7,0,0,0,0,109,3,-1,0,0,0,-3
