name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
P.Manning,00-0010346,yes,IND,QB,36,20,0,0,0,0,185
C.Palmer,00-0021429,no,CIN,QB,42,31,3,2,0,0,292
