name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
P.Rivers,00-0022942,yes,SD,QB,1,0,1,0,0,33,18,0,0,0,0,303,1,5,1,0,0,5
C.Henne,00-0026197,no,MIA,QB,,,,,,19,10,1,0,0,0,92,1,2,0,0,0,2
C.Pennington,00-0019559,no,MIA,,1,0,1,0,0,12,8,0,0,0,0,54,2,3,0,0,0,3
