name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
P.Manning,00-0010346,yes,DEN,QB,,,,,,42,25,1,3,0,0,270
P.Rivers,00-0022942,no,SD,QB,1,1,3,1,0,40,24,2,2,0,0,258
