name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
K.Orton,00-0023541,yes,BUF,,48,29,0,1,0,0,259,2,2,0,0,0,0,3
A.Smith,00-0023436,no,KC,QB,29,17,0,0,0,0,177,4,12,8,1,0,0,25
