name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Stafford,00-0026498,yes,DET,QB,32,22,0,2,1,1,346,4,5,5,1,0,0,2
E.Manning,00-0022803,no,NYG,QB,33,18,2,1,0,0,163,,,,,,,
