name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
S.Hill,00-0020679,yes,STL,QB,0,1,1,1,0,29,20,0,1,0,0,220,0,0,1,0,0,0,0,,,,,,,
P.Manning,00-0010346,no,DEN,QB,,,,,,54,34,2,1,0,0,389,,,,,,,,1,-1,0,0,0,0,-1
