name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Palmer,00-0021429,yes,CIN,QB,33,20,0,1,0,0,224,1,10,0,0,0,10
J.Flacco,00-0026158,no,BAL,QB,32,18,2,0,0,0,195,2,2,0,0,0,3
