name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Freeman,00-0026993,yes,TB,,28,17,1,2,0,0,182,2,33,0,0,0,0,34
J.Delhomme,00-0004161,no,CLE,,37,20,2,1,0,0,227,1,1,0,0,0,0,1
