name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
T.Brady,00-0019596,yes,NE,QB,1,0,1,0,0,32,21,0,1,0,0,258,5,7,1,0,0,11
J.Flacco,00-0026158,no,BAL,QB,,,,,,47,27,1,2,0,0,264,1,2,0,0,0,2
