name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Flacco,00-0026158,yes,BAL,QB,0,0,1,0,0,29,21,0,4,0,0,234,2,3,0,0,0,5
T.Smith,00-0025561,yes,BAL,,,,,,,4,2,1,0,0,0,10,6,8,0,0,0,17
C.Hanie,00-0025970,no,CHI,,,,,,,5,2,1,0,0,0,8,,,,,,
J.Cutler,00-0024226,no,CHI,QB,,,,,,27,10,3,0,0,0,94,4,13,0,0,0,23
