name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
J.McCown,00-0021206,yes,TB,QB,0,0,1,0,0,26,12,1,0,0,0,147
A.Rodgers,00-0023459,no,GB,QB,1,0,1,0,0,40,31,0,1,0,0,318
